city_risk,rainfall,temperature,aqi,work_hours,season,disruption
0.59,0.14,0.49,0.36,9.58,0,0
0.79,0.46,0.39,0.28,4.01,0,0
0.82,0.8,0.4,0.98,10.88,0,1
0.62,0.43,0.49,0.23,9.47,1,0
0.76,0.34,0.39,0.2,7.84,1,0
0.62,0.97,0.96,0.85,9.97,1,1
0.65,0.06,0.78,0.07,4.07,0,0
0.85,0.56,0.34,0.21,10.33,0,0
0.63,0.13,0.4,0.28,10.53,0,0
0.52,0.33,0.02,0.81,10.35,0,1
0.36,0.45,0.56,0.16,8.07,0,0
0.62,0.79,0.14,0.68,8.83,1,1
0.54,0.68,0.38,0.01,8.9,1,0
0.87,0.49,0.44,0.75,9.99,0,0
0.47,0.65,0.77,0.18,8.19,0,0
0.76,0.85,0.17,0.34,8.32,0,1
0.77,1.0,0.6,0.06,9.81,0,1
0.68,0.48,0.67,0.2,6.95,0,0
0.69,0.98,0.46,0.08,11.47,1,1
0.34,0.41,0.28,0.38,10.0,0,0
0.88,0.01,0.08,0.26,7.53,1,0
0.37,0.69,0.37,0.34,4.92,1,0
0.37,0.02,0.14,0.05,9.59,0,0
0.42,0.0,0.8,0.06,10.97,0,0
0.37,0.25,0.49,0.47,10.55,0,0
0.67,0.55,0.6,0.84,9.24,1,1
0.41,0.47,0.68,0.96,5.89,1,1
0.82,0.85,0.51,0.24,7.15,0,1
0.37,0.22,0.39,0.71,11.94,1,0
0.71,0.51,0.58,0.34,8.16,1,0
0.35,0.84,0.66,0.9,4.62,1,1
0.76,0.39,0.31,0.67,7.33,0,0
0.59,0.71,0.52,0.8,11.97,1,1
0.53,0.82,0.43,0.87,7.5,0,1
0.31,0.94,0.41,0.17,5.41,0,1
0.79,0.33,0.51,0.5,7.99,0,0
0.38,0.45,1.0,0.8,9.81,1,1
0.41,0.51,0.95,0.94,11.78,0,1
0.5,0.64,0.31,0.22,5.73,0,0
0.65,0.19,0.89,0.73,5.54,1,1
0.74,0.31,0.94,0.99,6.1,1,1
0.41,0.78,0.9,0.28,4.15,1,1
0.83,0.65,0.44,0.59,6.79,1,0
0.46,0.55,0.68,0.52,6.23,1,0
0.71,0.36,0.87,0.75,9.55,0,1
0.6,0.16,0.2,0.1,4.88,0,0
0.4,0.38,0.68,0.68,8.36,1,0
0.51,0.12,0.16,0.79,7.27,1,0
0.44,0.05,0.26,0.02,9.97,0,0
0.49,0.28,0.63,0.99,9.99,0,1
0.62,0.05,0.95,0.53,4.78,1,1
0.81,0.53,0.31,0.68,10.5,0,0
0.43,0.92,0.34,0.34,8.4,1,1
0.66,0.62,0.31,0.1,4.12,1,0
0.5,0.36,0.36,0.01,10.89,0,0
0.4,0.85,0.86,0.09,6.5,0,1
0.74,0.79,0.63,0.51,7.58,1,1
0.4,0.71,0.85,0.54,7.45,0,1
0.33,0.5,0.72,0.21,7.13,1,0
0.87,0.48,0.77,0.01,4.06,0,0
0.67,0.58,0.12,0.72,5.16,0,0
0.88,0.42,0.66,0.58,6.93,0,0
0.34,0.01,0.04,0.01,7.46,1,0
0.74,1.0,0.75,0.12,4.99,0,1
0.35,0.71,0.05,0.5,5.32,1,1
0.87,0.94,0.07,1.0,4.16,0,1
0.63,0.86,0.54,0.19,4.28,0,1
0.71,0.07,0.6,0.12,10.98,1,0
0.75,0.86,0.04,0.72,4.23,0,1
0.85,0.24,0.07,0.0,6.06,1,0
0.73,0.14,0.63,0.24,9.6,1,0
0.59,0.01,0.43,0.48,9.26,0,0
0.46,0.1,0.37,0.55,4.7,0,0
0.75,0.1,0.17,0.87,4.68,0,1
0.73,0.14,0.87,0.9,10.76,1,1
0.33,0.09,0.66,0.45,10.35,1,0
0.72,0.48,0.14,0.4,10.99,0,0
0.5,0.01,0.41,0.59,10.15,0,0
0.48,0.34,0.66,0.32,9.07,1,0
0.57,0.84,0.74,0.7,7.95,0,1
0.58,0.22,0.13,0.44,9.82,0,0
0.52,0.28,0.28,0.5,4.47,0,0
0.31,0.73,0.32,0.79,9.96,1,1
0.87,0.49,0.24,0.52,6.13,1,0
0.66,0.81,0.42,0.14,7.31,1,1
0.58,0.79,0.41,0.96,7.81,0,1
0.57,0.62,0.81,0.55,4.21,0,0
0.78,0.84,0.52,0.9,11.01,1,1
0.66,0.56,0.86,0.86,9.92,0,1
0.5,0.11,0.47,0.83,8.79,0,1
0.33,0.35,0.05,0.55,8.58,0,0
0.82,0.35,0.86,0.71,5.04,0,1
0.31,0.83,0.8,0.7,6.16,0,1
0.72,0.01,0.16,0.94,5.32,1,1
0.47,0.01,0.58,0.41,9.23,0,0
0.39,0.02,0.01,0.37,5.84,1,0
0.66,0.65,0.62,0.99,10.85,0,1
0.32,0.48,0.04,0.82,10.98,1,1
0.71,0.14,0.5,0.78,9.66,0,0
0.56,0.13,0.31,0.3,7.07,1,0
0.37,0.39,0.14,0.27,4.09,1,0
0.49,0.79,0.88,0.54,4.55,1,1
0.47,0.99,0.44,0.33,6.63,0,1
0.59,0.87,0.48,0.07,4.92,1,1
0.35,0.72,0.03,0.47,8.28,0,1
0.77,0.36,0.52,0.28,6.37,1,0
0.33,0.62,0.4,0.67,8.8,0,0
0.64,0.06,0.47,0.17,7.47,0,0
0.63,0.17,0.55,0.81,11.86,1,1
0.65,0.1,0.54,0.86,4.99,0,1
0.42,0.49,0.34,0.79,8.52,0,0
0.33,0.17,0.13,0.77,11.42,1,0
0.38,0.58,0.42,0.78,5.44,0,0
0.36,0.72,0.61,0.73,6.72,0,1
0.47,0.97,0.51,0.53,9.62,0,1
0.72,0.43,0.02,0.66,8.95,1,0
0.55,0.24,0.35,0.48,4.28,0,0
0.82,0.61,0.39,0.02,9.13,0,0
0.66,0.26,0.01,0.75,6.83,1,0
0.32,0.25,0.1,0.05,5.08,0,0
0.78,0.9,0.2,0.09,10.06,1,1
0.62,0.03,0.61,0.68,9.8,1,0
0.55,0.4,0.78,0.29,10.91,0,0
0.67,0.07,0.83,0.01,9.68,0,0
0.57,0.46,0.19,0.53,8.09,0,0
0.56,0.34,0.68,0.16,9.39,0,0
0.39,0.09,0.78,0.03,7.69,0,0
0.32,0.59,0.95,0.82,7.76,0,1
0.62,0.32,0.34,0.44,10.73,0,0
0.78,0.43,0.22,0.97,9.0,1,1
0.45,0.46,0.58,0.51,5.65,0,0
0.87,0.8,0.93,0.76,10.38,0,1
0.4,0.71,0.28,0.73,7.57,0,1
0.89,0.24,0.2,0.67,9.3,1,0
0.76,0.98,0.63,0.52,7.35,1,1
0.56,0.75,0.54,0.59,4.39,0,1
0.54,0.5,0.82,0.46,10.02,1,0
0.48,0.58,0.22,0.52,5.67,0,0
0.48,0.29,0.65,0.4,7.37,1,0
0.71,0.54,0.66,0.24,6.01,1,0
0.49,0.74,0.08,0.95,7.24,0,1
0.58,0.72,0.25,0.57,5.83,0,1
0.89,0.07,0.32,0.18,9.71,1,0
0.78,0.26,0.88,0.71,9.77,1,1
0.39,0.44,0.29,0.11,10.56,1,0
0.49,0.79,0.28,0.11,10.63,0,1
0.41,0.84,0.05,0.83,6.02,0,1
0.56,0.18,0.9,0.55,4.52,0,1
0.44,0.89,0.3,0.62,9.3,0,1
0.37,0.19,0.84,0.26,4.47,1,0
0.67,0.03,0.68,0.18,7.86,1,0
0.41,0.72,0.94,0.48,5.83,0,1
0.38,0.26,0.45,0.19,5.18,1,0
0.74,0.52,0.58,0.3,7.33,1,0
0.78,0.94,0.31,0.01,8.17,0,1
0.75,0.88,0.74,0.89,8.82,0,1
0.44,0.57,0.25,0.85,6.19,0,1
0.42,0.46,0.21,0.09,8.7,0,0
0.4,0.45,0.06,0.6,6.23,0,0
0.31,0.95,0.14,0.45,9.86,1,1
0.65,0.2,0.01,0.5,7.73,1,0
0.63,0.84,0.91,0.82,11.41,0,1
0.61,0.66,0.23,0.12,7.11,1,0
0.84,0.31,0.42,0.17,11.72,0,0
0.39,0.39,0.03,0.08,5.37,0,0
0.8,0.56,0.16,0.34,6.41,1,0
0.32,0.26,0.86,0.24,9.45,1,1
0.78,0.35,0.84,0.23,5.93,0,0
0.88,0.48,0.99,0.78,7.26,1,1
0.83,0.92,0.34,0.9,7.72,1,1
0.82,0.6,0.94,0.57,5.86,0,1
0.89,0.7,0.74,0.76,4.06,0,0
0.72,0.52,0.43,0.62,6.78,1,0
0.46,0.22,0.11,0.04,7.07,0,0
0.76,0.54,0.46,0.87,5.16,1,1
0.7,0.35,0.23,0.4,11.19,0,0
0.74,0.61,0.38,0.42,11.4,0,0
0.82,0.49,0.32,0.55,10.18,1,0
0.73,0.19,0.42,0.74,4.48,0,0
0.78,0.53,0.92,0.88,10.94,0,1
0.39,0.71,0.62,0.55,5.85,1,1
0.66,0.5,0.19,0.2,4.92,0,0
0.83,0.83,0.69,0.43,6.93,0,1
0.43,0.87,0.19,0.28,6.17,0,1
0.62,0.51,0.67,0.49,11.45,1,0
0.6,0.97,0.11,0.8,5.56,0,1
0.78,0.94,0.94,0.24,9.97,1,1
0.59,0.74,0.72,0.25,10.05,0,1
0.9,0.34,0.73,0.0,5.54,1,0
0.57,0.73,0.16,0.9,7.26,1,1
0.52,0.4,0.14,0.74,4.14,0,0
0.8,0.46,0.13,0.28,8.16,1,0
0.73,0.11,0.41,0.75,5.01,1,0
0.65,0.45,0.58,0.41,6.46,0,0
0.68,0.19,0.35,0.79,11.63,0,0
0.58,0.81,0.21,0.81,6.44,1,1
0.69,0.81,0.22,0.89,7.13,0,1
0.86,0.93,0.18,0.18,6.81,1,1
0.49,0.84,0.24,0.12,11.81,1,1
0.87,0.33,0.12,0.28,8.24,1,0
0.39,0.72,0.2,0.39,7.32,1,1
0.56,0.28,0.1,0.63,7.4,0,0
0.68,0.06,0.16,0.59,9.49,1,0
0.46,0.37,0.83,0.89,6.19,0,1
0.5,0.84,0.06,0.88,10.93,0,1
0.64,0.74,0.56,0.91,10.36,0,1
0.81,0.34,0.34,0.79,6.62,1,0
0.47,0.24,0.66,0.31,4.91,0,0
0.6,0.29,0.24,0.15,8.73,0,0
0.57,0.78,0.82,0.8,8.51,0,1
